From,To,rideTime
187,18,2020-04-01
188,9,2020-04-06
189,20,2020-04-09
190,10,2020-04-04
191,16,2020-04-03
192,2,2020-04-08
193,12,2020-04-02
194,10,2020-04-08
195,20,2020-04-10
196,7,2020-04-08
197,18,2020-04-09
198,2,2020-04-01
199,18,2020-04-04
200,12,2020-04-06
201,2,2020-04-02
202,17,2020-04-04
203,20,2020-04-09
204,1,2020-04-04
205,15,2020-04-10
206,17,2020-04-02
207,4,2020-04-10
208,20,2020-04-07
209,15,2020-04-08
210,11,2020-04-09
211,4,2020-04-09
212,19,2020-04-09
213,17,2020-04-01
214,5,2020-04-01
215,8,2020-04-01
216,6,2020-04-02
217,20,2020-04-06
218,20,2020-04-10
219,13,2020-04-02
220,8,2020-04-09
221,6,2020-04-01
222,17,2020-04-02
223,15,2020-04-10
224,18,2020-04-03
225,17,2020-04-08
226,11,2020-04-03
227,7,2020-04-04
228,7,2020-04-05
229,2,2020-04-06
230,7,2020-04-05
231,10,2020-04-08
232,12,2020-04-10
233,5,2020-04-04
234,13,2020-04-08
235,16,2020-04-09
236,10,2020-04-01
237,1,2020-04-04
238,8,2020-04-07
239,18,2020-04-01
240,3,2020-04-02
241,3,2020-04-05
242,18,2020-04-10
243,19,2020-04-09
244,9,2020-04-06
245,4,2020-04-06
246,8,2020-04-01
247,11,2020-04-09
248,12,2020-04-08
249,15,2020-04-02
250,16,2020-04-09
251,9,2020-04-10
252,1,2020-04-10
253,15,2020-04-04
254,3,2020-04-03
255,5,2020-04-02
256,16,2020-04-05
257,6,2020-04-05
258,7,2020-04-09
259,5,2020-04-05
260,14,2020-04-10
261,19,2020-04-09
262,20,2020-04-07
263,13,2020-04-08
264,5,2020-04-03
265,16,2020-04-08
266,2,2020-04-05
267,8,2020-04-06
268,14,2020-04-08
269,13,2020-04-02
270,19,2020-04-08
271,13,2020-04-08
272,19,2020-04-02
273,10,2020-04-05
274,2,2020-04-06
275,4,2020-04-08
276,12,2020-04-01
277,1,2020-04-09
278,13,2020-04-08
279,1,2020-04-02
280,11,2020-04-02
281,19,2020-04-04
282,10,2020-04-10
283,19,2020-04-06
284,15,2020-04-05
285,11,2020-04-03
286,16,2020-04-02
287,17,2020-04-09
288,12,2020-04-03
289,17,2020-04-09
290,9,2020-04-08
291,6,2020-04-06
292,3,2020-04-08
293,10,2020-04-05
294,15,2020-04-07
295,1,2020-04-05
296,1,2020-04-05
297,4,2020-04-07
298,4,2020-04-01
299,9,2020-04-10
300,2,2020-04-09
301,19,2020-04-01
302,10,2020-04-01
303,5,2020-04-08
304,17,2020-04-04
305,5,2020-04-04
306,4,2020-04-03
307,20,2020-04-01
308,7,2020-04-01
309,15,2020-04-05
310,15,2020-04-01
311,1,2020-04-10
312,8,2020-04-08
313,16,2020-04-05
314,1,2020-04-08
315,17,2020-04-06
316,14,2020-04-06
317,12,2020-04-06
318,4,2020-04-04
319,19,2020-04-02
320,6,2020-04-07
321,17,2020-04-06
322,5,2020-04-02
323,12,2020-04-01
324,20,2020-04-03
325,6,2020-04-03
326,1,2020-04-02
327,12,2020-04-04
328,19,2020-04-03
329,1,2020-04-03
330,8,2020-04-02
331,1,2020-04-02
332,17,2020-04-04
333,14,2020-04-10
334,14,2020-04-07
335,12,2020-04-08
336,1,2020-04-02
337,10,2020-04-02
338,5,2020-04-06
339,19,2020-04-08
340,16,2020-04-05
341,20,2020-04-09
342,18,2020-04-05
343,10,2020-04-04
344,16,2020-04-02
345,5,2020-04-02
346,12,2020-04-09
347,1,2020-04-08
348,10,2020-04-10
349,14,2020-04-08
350,12,2020-04-08
351,11,2020-04-06
352,10,2020-04-02
353,9,2020-04-05
354,18,2020-04-02
355,10,2020-04-08
356,18,2020-04-05
357,6,2020-04-07
358,16,2020-04-03
359,4,2020-04-06
360,17,2020-04-10
361,8,2020-04-05
362,3,2020-04-04
363,7,2020-04-06
364,15,2020-04-08
365,19,2020-04-01
366,20,2020-04-05
367,19,2020-04-02
368,3,2020-04-03
369,19,2020-04-07
370,16,2020-04-09
371,20,2020-04-02
372,4,2020-04-08
373,15,2020-04-10
374,1,2020-04-09
375,7,2020-04-08
376,2,2020-04-08
377,12,2020-04-06
378,4,2020-04-06
379,12,2020-04-03
380,17,2020-04-02
381,4,2020-04-05
382,20,2020-04-06
383,1,2020-04-04
384,7,2020-04-07
385,10,2020-04-01
386,5,2020-04-09
387,8,2020-04-01
388,1,2020-04-02
389,11,2020-04-04
390,13,2020-04-03
391,20,2020-04-04
392,13,2020-04-06
393,14,2020-04-10
394,1,2020-04-10
395,18,2020-04-10
396,13,2020-04-03
397,13,2020-04-06
398,12,2020-04-07
399,14,2020-04-04
400,19,2020-04-02
401,3,2020-04-06
402,16,2020-04-03
403,1,2020-04-10
404,1,2020-04-09
405,20,2020-04-06
406,8,2020-04-08
407,3,2020-04-10
408,20,2020-04-05
409,7,2020-04-10
410,10,2020-04-05
411,19,2020-04-08
412,2,2020-04-03
413,14,2020-04-01
414,17,2020-04-07
415,18,2020-04-09
416,15,2020-04-08
417,17,2020-04-06
418,16,2020-04-08
419,1,2020-04-05
420,6,2020-04-09
421,3,2020-04-02
422,6,2020-04-04
423,17,2020-04-06
424,13,2020-04-09
425,14,2020-04-10
426,10,2020-04-07
427,1,2020-04-07
428,13,2020-04-06
429,9,2020-04-10
430,20,2020-04-08
431,19,2020-04-01
432,14,2020-04-01
433,2,2020-04-05
434,14,2020-04-05
435,16,2020-04-01
436,15,2020-04-02
437,13,2020-04-03
438,16,2020-04-06
439,11,2020-04-01
440,11,2020-04-05
441,12,2020-04-02
442,15,2020-04-02
443,9,2020-04-08
444,7,2020-04-01
445,9,2020-04-04
446,19,2020-04-10
447,11,2020-04-06
448,11,2020-04-05
449,19,2020-04-02
450,15,2020-04-04
451,6,2020-04-01
452,19,2020-04-03
453,1,2020-04-08
454,10,2020-04-05
455,8,2020-04-04
456,13,2020-04-04
457,17,2020-04-10
458,10,2020-04-07
459,20,2020-04-05
460,5,2020-04-05
461,5,2020-04-01
462,15,2020-04-10
463,17,2020-04-06
464,9,2020-04-09
465,20,2020-04-01
466,1,2020-04-07
467,14,2020-04-10
468,14,2020-04-05
469,15,2020-04-02
470,14,2020-04-06
471,11,2020-04-09
472,15,2020-04-08
473,2,2020-04-09
474,19,2020-04-01
475,15,2020-04-06
476,2,2020-04-09
477,17,2020-04-10
478,14,2020-04-03
479,17,2020-04-02
480,7,2020-04-05
481,16,2020-04-07
482,14,2020-04-02
483,9,2020-04-06
484,7,2020-04-06
485,13,2020-04-04
486,18,2020-04-09
487,7,2020-04-03
488,18,2020-04-03
489,1,2020-04-09
490,19,2020-04-02
491,3,2020-04-08
492,5,2020-04-01
493,4,2020-04-07
494,20,2020-04-07
495,19,2020-04-08
496,15,2020-04-10
497,16,2020-04-02
498,9,2020-04-02
499,12,2020-04-06
500,17,2020-04-07
501,6,2020-04-02
502,14,2020-04-06
503,9,2020-04-06
504,1,2020-04-03
505,9,2020-04-10
506,20,2020-04-02
507,11,2020-04-02
508,6,2020-04-04
509,16,2020-04-07
510,13,2020-04-07
511,7,2020-04-06
512,7,2020-04-10
513,18,2020-04-01
514,5,2020-04-09
515,5,2020-04-05
516,18,2020-04-09
517,6,2020-04-06
518,3,2020-04-01
519,16,2020-04-03
520,3,2020-04-06
521,7,2020-04-01
522,16,2020-04-01
523,5,2020-04-02
524,15,2020-04-10
525,8,2020-04-06
526,1,2020-04-07
527,5,2020-04-05
528,6,2020-04-02
529,4,2020-04-02
530,4,2020-04-10
531,20,2020-04-01
532,5,2020-04-06
533,3,2020-04-06
534,10,2020-04-10
535,18,2020-04-05
536,8,2020-04-08
537,2,2020-04-05
538,20,2020-04-08
539,15,2020-04-07
540,13,2020-04-08
541,13,2020-04-10
542,17,2020-04-09
543,5,2020-04-04
544,4,2020-04-03
545,6,2020-04-06
546,8,2020-04-01
547,10,2020-04-09
548,12,2020-04-04
549,5,2020-04-10
550,8,2020-04-02
551,17,2020-04-03
552,20,2020-04-05
553,9,2020-04-09
554,7,2020-04-10
555,20,2020-04-01
556,14,2020-04-03
557,10,2020-04-09
558,7,2020-04-02
559,8,2020-04-02
560,4,2020-04-06
561,18,2020-04-02
562,18,2020-04-05
563,13,2020-04-05
564,14,2020-04-10
565,13,2020-04-06
566,9,2020-04-02
567,7,2020-04-07
568,16,2020-04-05
569,6,2020-04-03
570,7,2020-04-09
571,2,2020-04-06
572,4,2020-04-10
573,10,2020-04-04
574,17,2020-04-04
575,8,2020-04-07
576,16,2020-04-08
577,2,2020-04-08
578,20,2020-04-05
579,6,2020-04-02
580,1,2020-04-04
581,6,2020-04-10
582,13,2020-04-06
583,17,2020-04-03
584,4,2020-04-09
585,8,2020-04-08
586,7,2020-04-10
587,10,2020-04-05
588,18,2020-04-09
589,12,2020-04-08
590,10,2020-04-07
591,20,2020-04-09
592,8,2020-04-07
593,9,2020-04-08
594,16,2020-04-04
595,20,2020-04-02
596,17,2020-04-07
597,6,2020-04-02
598,3,2020-04-08
599,8,2020-04-05
600,10,2020-04-05
601,8,2020-04-04
602,6,2020-04-06
603,14,2020-04-02
604,8,2020-04-08
605,11,2020-04-07
606,8,2020-04-05
607,6,2020-04-06
608,7,2020-04-10
609,8,2020-04-07
610,13,2020-04-01
611,2,2020-04-10
612,1,2020-04-09
613,11,2020-04-01
614,10,2020-04-10
615,7,2020-04-05
616,5,2020-04-08
617,14,2020-04-04
618,3,2020-04-02
619,6,2020-04-07
620,13,2020-04-02
621,3,2020-04-01
622,7,2020-04-06
623,6,2020-04-09
624,15,2020-04-01
625,11,2020-04-01
626,6,2020-04-09
627,9,2020-04-07
628,14,2020-04-10
629,2,2020-04-02
630,18,2020-04-05
631,10,2020-04-09
632,13,2020-04-01
633,8,2020-04-05
634,19,2020-04-06
635,12,2020-04-03
636,12,2020-04-08
637,3,2020-04-07
638,8,2020-04-04
639,12,2020-04-10
640,19,2020-04-04
641,2,2020-04-09
642,19,2020-04-04
643,5,2020-04-05
644,2,2020-04-09
645,15,2020-04-03
646,16,2020-04-05
647,20,2020-04-06
648,1,2020-04-07
649,15,2020-04-05
650,9,2020-04-07
651,18,2020-04-02
652,12,2020-04-05
653,11,2020-04-03
654,14,2020-04-09
655,12,2020-04-07
656,13,2020-04-06
657,20,2020-04-03
658,11,2020-04-04
659,9,2020-04-04
660,6,2020-04-08
661,15,2020-04-03
662,3,2020-04-03
663,2,2020-04-01
664,13,2020-04-03
665,17,2020-04-05
666,8,2020-04-06
667,17,2020-04-03
668,9,2020-04-08
669,5,2020-04-01
670,17,2020-04-05
671,16,2020-04-02
672,10,2020-04-07
673,7,2020-04-10
674,7,2020-04-03
675,5,2020-04-01
676,1,2020-04-07
677,4,2020-04-08
678,16,2020-04-01
679,2,2020-04-05
680,6,2020-04-09
681,8,2020-04-10
682,1,2020-04-03
683,5,2020-04-03
684,20,2020-04-07
685,5,2020-04-06
686,5,2020-04-03
687,13,2020-04-10
688,1,2020-04-10
689,16,2020-04-04
690,7,2020-04-06
691,5,2020-04-06
692,7,2020-04-10
693,8,2020-04-06
694,14,2020-04-07
695,13,2020-04-09
696,20,2020-04-09
697,14,2020-04-10
698,10,2020-04-08
699,16,2020-04-07
700,2,2020-04-02
701,1,2020-04-02
702,20,2020-04-10
703,3,2020-04-07
704,2,2020-04-02
705,4,2020-04-01
706,15,2020-04-05
707,18,2020-04-01
708,10,2020-04-09
709,13,2020-04-07
710,9,2020-04-04
711,4,2020-04-07
712,9,2020-04-07
713,6,2020-04-06
714,13,2020-04-10
715,3,2020-04-10
716,3,2020-04-03
717,1,2020-04-09
718,13,2020-04-04
719,5,2020-04-05
720,1,2020-04-08
721,14,2020-04-08
722,14,2020-04-08
723,7,2020-04-06
724,8,2020-04-05
725,1,2020-04-04
726,14,2020-04-03
727,19,2020-04-04
728,19,2020-04-06
729,20,2020-04-08
730,19,2020-04-05
731,9,2020-04-02
732,16,2020-04-07
733,4,2020-04-06
734,10,2020-04-03
735,6,2020-04-10
736,15,2020-04-03
737,8,2020-04-10
738,14,2020-04-04
739,11,2020-04-06
740,20,2020-04-10
741,11,2020-04-02
742,20,2020-04-08
743,11,2020-04-06
744,13,2020-04-01
745,13,2020-04-03
746,10,2020-04-05
747,12,2020-04-06
748,17,2020-04-04
749,1,2020-04-08
750,1,2020-04-10
751,4,2020-04-07
752,7,2020-04-03
753,16,2020-04-03
754,9,2020-04-04
755,6,2020-04-08
756,5,2020-04-05
757,7,2020-04-04
758,17,2020-04-10
759,6,2020-04-06
760,3,2020-04-08
761,20,2020-04-01
762,14,2020-04-04
763,19,2020-04-09
764,17,2020-04-08
765,19,2020-04-02
766,2,2020-04-04
767,14,2020-04-10
768,1,2020-04-07
769,11,2020-04-07
770,9,2020-04-04
771,18,2020-04-08
772,10,2020-04-03
773,9,2020-04-08
774,7,2020-04-01
775,1,2020-04-10
776,10,2020-04-01
777,10,2020-04-05
778,11,2020-04-10
779,15,2020-04-04
780,18,2020-04-08
781,14,2020-04-05
782,2,2020-04-05
783,12,2020-04-08
784,6,2020-04-07
785,15,2020-04-04
786,5,2020-04-09
787,17,2020-04-09
788,13,2020-04-04
789,20,2020-04-01
790,3,2020-04-09
791,2,2020-04-06
792,14,2020-04-04
793,10,2020-04-05
794,10,2020-04-09
795,18,2020-04-01
796,8,2020-04-07
797,14,2020-04-06
798,15,2020-04-03
799,1,2020-04-10
800,16,2020-04-07
801,18,2020-04-03
802,8,2020-04-08
803,7,2020-04-06
804,15,2020-04-10
805,17,2020-04-02
806,8,2020-04-10
807,5,2020-04-07
808,1,2020-04-06
809,6,2020-04-07
810,19,2020-04-04
811,7,2020-04-10
812,8,2020-04-05
813,6,2020-04-04
814,1,2020-04-04
815,7,2020-04-01
816,8,2020-04-07
817,17,2020-04-03
818,5,2020-04-10
819,2,2020-04-04
820,6,2020-04-05
821,16,2020-04-01
822,2,2020-04-02
823,2,2020-04-07
824,13,2020-04-09
825,10,2020-04-02
826,16,2020-04-10
827,7,2020-04-07
828,14,2020-04-09
829,17,2020-04-10
830,14,2020-04-05
831,13,2020-04-09
832,9,2020-04-04
833,14,2020-04-07
834,15,2020-04-08
835,6,2020-04-05
836,16,2020-04-04
837,13,2020-04-06
838,11,2020-04-07
839,8,2020-04-06
840,10,2020-04-08
841,6,2020-04-09
842,11,2020-04-08
843,16,2020-04-03
844,3,2020-04-01
845,5,2020-04-04
846,15,2020-04-07
847,5,2020-04-03
848,17,2020-04-03
849,14,2020-04-09
850,15,2020-04-02
851,13,2020-04-07
852,17,2020-04-06
853,13,2020-04-07
854,6,2020-04-02
855,16,2020-04-03
856,3,2020-04-02
857,11,2020-04-08
858,11,2020-04-03
859,10,2020-04-06
860,13,2020-04-04
861,1,2020-04-07
862,10,2020-04-05
863,17,2020-04-09
864,5,2020-04-04
865,13,2020-04-04
866,11,2020-04-07
867,18,2020-04-02
868,16,2020-04-01
869,1,2020-04-05
870,18,2020-04-04
871,4,2020-04-07
872,10,2020-04-07
873,10,2020-04-05
874,11,2020-04-08
875,18,2020-04-07
876,2,2020-04-04
877,18,2020-04-07
878,11,2020-04-01
879,12,2020-04-04
880,10,2020-04-09
881,4,2020-04-02
882,10,2020-04-02
883,6,2020-04-07
884,9,2020-04-10
885,11,2020-04-10
886,11,2020-04-07
887,5,2020-04-03
888,9,2020-04-08
889,10,2020-04-01
890,13,2020-04-03
891,2,2020-04-06
892,9,2020-04-01
893,16,2020-04-06
894,15,2020-04-03
895,16,2020-04-05
896,7,2020-04-06
897,4,2020-04-06
898,9,2020-04-02
899,15,2020-04-06
900,4,2020-04-09
901,9,2020-04-09
902,13,2020-04-10
903,16,2020-04-01
904,17,2020-04-05
905,10,2020-04-09
906,4,2020-04-01
907,7,2020-04-09
908,17,2020-04-10
909,19,2020-04-10
910,10,2020-04-05
911,11,2020-04-09
912,16,2020-04-01
913,7,2020-04-01
914,15,2020-04-10
915,6,2020-04-07
916,10,2020-04-02
917,19,2020-04-03
918,1,2020-04-09
919,8,2020-04-05
920,11,2020-04-05
921,6,2020-04-02
922,2,2020-04-01
923,4,2020-04-09
924,14,2020-04-03
925,18,2020-04-05
926,18,2020-04-09
927,17,2020-04-01
928,19,2020-04-10
929,8,2020-04-01
930,9,2020-04-02
931,12,2020-04-04
932,1,2020-04-03
933,9,2020-04-03
934,6,2020-04-03
935,17,2020-04-05
936,1,2020-04-05
937,20,2020-04-10
938,12,2020-04-08
939,5,2020-04-04
940,15,2020-04-03
941,11,2020-04-07
942,2,2020-04-09
943,9,2020-04-10
944,7,2020-04-03
945,17,2020-04-03
946,17,2020-04-07
947,14,2020-04-06
948,6,2020-04-10
949,18,2020-04-06
950,4,2020-04-06
951,7,2020-04-03
952,18,2020-04-08
953,20,2020-04-03
954,14,2020-04-04
955,10,2020-04-07
956,4,2020-04-08
957,13,2020-04-03
958,16,2020-04-02
959,7,2020-04-07
960,4,2020-04-09
961,9,2020-04-01
962,18,2020-04-02
963,2,2020-04-04
964,17,2020-04-05
965,4,2020-04-01
966,18,2020-04-08
967,16,2020-04-08
968,11,2020-04-01
969,7,2020-04-02
970,17,2020-04-03
971,14,2020-04-08
972,3,2020-04-06
973,7,2020-04-10
974,15,2020-04-02
975,4,2020-04-01
976,19,2020-04-01
977,1,2020-04-10
978,13,2020-04-05
979,12,2020-04-05
980,18,2020-04-08
981,13,2020-04-08
982,10,2020-04-04
983,2,2020-04-04
984,20,2020-04-03
985,20,2020-04-07
986,6,2020-04-09
987,5,2020-04-08
988,19,2020-04-06
989,19,2020-04-08
990,13,2020-04-07
991,3,2020-04-07
992,12,2020-04-02
993,13,2020-04-09
994,4,2020-04-07
995,7,2020-04-06
996,15,2020-04-01
997,8,2020-04-01
998,20,2020-04-07
999,2,2020-04-05
1000,6,2020-04-09
